Review,Topic,Sentiment
The Customer Support was great and fast.,Customer Support,Positive
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
Had a Customer Support experience with the frustrating.,Customer Support,Negative
Would not recommend due to the App Experience being slow.,App Experience,Negative
Neither too good nor too bad - just App Experience.,App Experience,Neutral
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
The Pricing was excellent and great.,Pricing,Positive
Would not recommend due to the App Experience being poor.,App Experience,Negative
Had a Customer Support experience with the bad.,Customer Support,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Had a Driver Behavior time using the great service!,Driver Behavior,Positive
The Ride Comfort was decent but nothing special.,Ride Comfort,Neutral
Everything about the App Experience was great.,App Experience,Positive
Had a Driver Behavior time using the smooth service!,Driver Behavior,Positive
I had a Pricing experience with the smooth.,Pricing,Positive
The Miscellaneous was okay but nothing special.,Miscellaneous,Neutral
"An App Experience ride, nothing to complain about.",App Experience,Neutral
Would not recommend due to the Miscellaneous being terrible.,Miscellaneous,Negative
The Driver Behavior was standard but nothing special.,Driver Behavior,Neutral
Everything about the Pricing was excellent.,Pricing,Positive
It was an Pricing experience overall.,Pricing,Neutral
Everything about the Customer Support was comfortable.,Customer Support,Positive
The Pricing was uncomfortable and really frustrating.,Pricing,Negative
"The Ride Comfort worked as expected, okay experience.",Ride Comfort,Neutral
"The Miscellaneous worked as expected, normal experience.",Miscellaneous,Neutral
Would not recommend due to the Driver Behavior being bad.,Driver Behavior,Negative
Would not recommend due to the Customer Support being terrible.,Customer Support,Negative
I had a Driver Behavior experience with the amazing.,Driver Behavior,Positive
I had a Ride Comfort experience with the excellent.,Ride Comfort,Positive
Would not recommend due to the Ride Comfort being slow.,Ride Comfort,Negative
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
Really impressed with the Miscellaneous - it was great.,Miscellaneous,Positive
The Miscellaneous was slow and really frustrating.,Miscellaneous,Negative
Neither too good nor too bad - just Miscellaneous.,Miscellaneous,Neutral
The Driver Behavior was great and comfortable.,Driver Behavior,Positive
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
Really impressed with the App Experience - it was amazing.,App Experience,Positive
"An Pricing ride, nothing to complain about.",Pricing,Neutral
Would not recommend due to the Driver Behavior being uncomfortable.,Driver Behavior,Negative
The Customer Support was decent but nothing special.,Customer Support,Neutral
"The Payment Issues worked as expected, standard experience.",Payment Issues,Neutral
It was an Payment Issues experience overall.,Payment Issues,Neutral
Neither too good nor too bad - just Miscellaneous.,Miscellaneous,Neutral
The Miscellaneous was bad and really frustrating.,Miscellaneous,Negative
Everything about the Miscellaneous was great.,Miscellaneous,Positive
"Disappointed with the Pricing, it was really frustrating.",Pricing,Negative
I had a App Experience experience with the amazing.,App Experience,Positive
Had a Payment Issues experience with the poor.,Payment Issues,Negative
Had a Ride Comfort time using the amazing service!,Ride Comfort,Positive
Had a Payment Issues experience with the uncomfortable.,Payment Issues,Negative
Had a Driver Behavior experience with the uncomfortable.,Driver Behavior,Negative
The Ride Comfort was smooth and great.,Ride Comfort,Positive
Really impressed with the Driver Behavior - it was fast.,Driver Behavior,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Had a Customer Support experience with the slow.,Customer Support,Negative
Had a Ride Comfort experience with the bad.,Ride Comfort,Negative
Had a Driver Behavior experience with the slow.,Driver Behavior,Negative
The Customer Support was slow and really frustrating.,Customer Support,Negative
"The Payment Issues worked as expected, okay experience.",Payment Issues,Neutral
The Payment Issues was frustrating and really frustrating.,Payment Issues,Negative
Neither too good nor too bad - just App Experience.,App Experience,Neutral
I had a Pricing experience with the great.,Pricing,Positive
A very Miscellaneous frustrating ruined the experience.,Miscellaneous,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
The Ride Comfort was smooth and amazing.,Ride Comfort,Positive
It was an App Experience experience overall.,App Experience,Neutral
The Driver Behavior was frustrating and really frustrating.,Driver Behavior,Negative
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
"Disappointed with the App Experience, it was really slow.",App Experience,Negative
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
Really impressed with the App Experience - it was amazing.,App Experience,Positive
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
Really impressed with the Customer Support - it was amazing.,Customer Support,Positive
"The Miscellaneous worked as expected, standard experience.",Miscellaneous,Neutral
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
Really impressed with the Customer Support - it was amazing.,Customer Support,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
It was an Pricing experience overall.,Pricing,Neutral
"The Miscellaneous worked as expected, okay experience.",Miscellaneous,Neutral
"An Miscellaneous ride, nothing to complain about.",Miscellaneous,Neutral
Really impressed with the Ride Comfort - it was fast.,Ride Comfort,Positive
The Driver Behavior was smooth and fast.,Driver Behavior,Positive
Really impressed with the Pricing - it was comfortable.,Pricing,Positive
Would not recommend due to the App Experience being uncomfortable.,App Experience,Negative
Everything about the Customer Support was excellent.,Customer Support,Positive
Had a Payment Issues time using the great service!,Payment Issues,Positive
"Disappointed with the App Experience, it was really slow.",App Experience,Negative
A very Miscellaneous frustrating ruined the experience.,Miscellaneous,Negative
The Ride Comfort was frustrating and really frustrating.,Ride Comfort,Negative
"Disappointed with the Miscellaneous, it was really slow.",Miscellaneous,Negative
Really impressed with the Ride Comfort - it was fast.,Ride Comfort,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
The Pricing was okay but nothing special.,Pricing,Neutral
Everything about the Ride Comfort was fast.,Ride Comfort,Positive
The Miscellaneous was fair but nothing special.,Miscellaneous,Neutral
A very App Experience slow ruined the experience.,App Experience,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Would not recommend due to the App Experience being uncomfortable.,App Experience,Negative
Would not recommend due to the Miscellaneous being frustrating.,Miscellaneous,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
Really impressed with the App Experience - it was great.,App Experience,Positive
"Disappointed with the App Experience, it was really poor.",App Experience,Negative
A very Ride Comfort frustrating ruined the experience.,Ride Comfort,Negative
A very Ride Comfort terrible ruined the experience.,Ride Comfort,Negative
"An Miscellaneous ride, nothing to complain about.",Miscellaneous,Neutral
Everything about the App Experience was comfortable.,App Experience,Positive
The Pricing was bad and really frustrating.,Pricing,Negative
I had a App Experience experience with the comfortable.,App Experience,Positive
Had a Customer Support time using the comfortable service!,Customer Support,Positive
"The Payment Issues worked as expected, fair experience.",Payment Issues,Neutral
Really impressed with the Driver Behavior - it was fast.,Driver Behavior,Positive
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
The Driver Behavior was okay but nothing special.,Driver Behavior,Neutral
"Disappointed with the Driver Behavior, it was really slow.",Driver Behavior,Negative
"The App Experience worked as expected, normal experience.",App Experience,Neutral
A very Ride Comfort bad ruined the experience.,Ride Comfort,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
"The Customer Support worked as expected, average experience.",Customer Support,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
Had a App Experience experience with the uncomfortable.,App Experience,Negative
I had a Payment Issues experience with the great.,Payment Issues,Positive
The Ride Comfort was slow and really frustrating.,Ride Comfort,Negative
The Ride Comfort was smooth and excellent.,Ride Comfort,Positive
"The Pricing worked as expected, fair experience.",Pricing,Neutral
I had a Driver Behavior experience with the amazing.,Driver Behavior,Positive
Had a Driver Behavior time using the comfortable service!,Driver Behavior,Positive
"The App Experience worked as expected, fair experience.",App Experience,Neutral
Really impressed with the Ride Comfort - it was great.,Ride Comfort,Positive
"Disappointed with the Pricing, it was really uncomfortable.",Pricing,Negative
Really impressed with the Driver Behavior - it was comfortable.,Driver Behavior,Positive
Had a Ride Comfort experience with the bad.,Ride Comfort,Negative
The Miscellaneous was comfortable and great.,Miscellaneous,Positive
